Figure Section,M,B_tilde,Gap,W,Method,crystalline
red,6.50,0.00,,4.8,symmetry,n
black,6.00,0.00,,3.9,symmetry,n
blue,5.50,0.00,,1.976,symmetry,n
red,2.0,0.00,,4.64,symmetry,n
black,2.25,0.00,,1.96,symmetry,n
blue,2.5,0.00,,1.764,symmetry,n
red,10.00,0.85,,1.773,symmetry,y
black,10.00,0.925,,1.06,symmetry,y
blue,10.00,0.95,,0.35,symmetry,y
red,6.50,0.00,,3.2,site_elim,n
black,6.00,0.00,,2.5,site_elim,n
blue,5.50,0.00,,2,site_elim,n
red,2.00,0.00,,4.1,site_elim,n
black,2.25,0.00,,2.33,site_elim,n
blue,2.5,0.00,,1.431,site_elim,n
red,10.00,0.85,,1.422,site_elim,y
black,10.00,0.925,,1.06,site_elim,y
blue,10.00,0.95,,0.35,site_elim,y
red,6.00,0.00,,8.22,renorm,n
black,5.00,0.00,,6.8,renorm,n
blue,4.50,0.00,,5.36,renorm,n
red,1.00,0.00,,7.83,renorm,n
black,3.00,0.00,,6.06,renorm,n
blue,3.50,0.00,,5.38,renorm,n
red,10.00,1.00,,6.43,renorm,y
black,10.00,0.90,,6,renorm,y
blue,10.00,0.80,,5,renorm,y
